"Value", "Tolerance", "Tempco", "Manufacturer", "Manufacturer P/N", "Supplier1", "Supplier Part Number 1", "ComponentLink1Description", "ComponentLink1URL", "Library Ref", "Library Path", "Footprint Ref", "Footprint Path", "Description"
"1.00", "1%", "100ppm/C", "Vishay", "CRCW04021R00FKED", "Digi-Key", "541-1.00LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.00 ohm" 
"1.02", "1%", "100ppm/C", "Vishay", "CRCW04021R02FKED", "Digi-Key", "541-1.02LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.02 ohm" 
"1.05", "1%", "100ppm/C", "Vishay", "CRCW04021R05FKED", "Digi-Key", "541-1.05LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.05 ohm" 
"1.07", "1%", "100ppm/C", "Vishay", "CRCW04021R07FKED", "Digi-Key", "541-1.07LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.07 ohm" 
"1.10", "1%", "100ppm/C", "Vishay", "CRCW04021R10FKED", "Digi-Key", "541-1.10LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.10 ohm" 
"1.13", "1%", "100ppm/C", "Vishay", "CRCW04021R13FKED", "Digi-Key", "541-1.13LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.13 ohm" 
"1.15", "1%", "100ppm/C", "Vishay", "CRCW04021R15FKED", "Digi-Key", "541-1.15LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.15 ohm" 
"1.18", "1%", "100ppm/C", "Vishay", "CRCW04021R18FKED", "Digi-Key", "541-1.18LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.18 ohm" 
"1.21", "1%", "100ppm/C", "Vishay", "CRCW04021R21FKED", "Digi-Key", "541-1.21LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.21 ohm" 
"1.24", "1%", "100ppm/C", "Vishay", "CRCW04021R24FKED", "Digi-Key", "541-1.24LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.24 ohm" 
"1.27", "1%", "100ppm/C", "Vishay", "CRCW04021R27FKED", "Digi-Key", "541-1.27LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.27 ohm" 
"1.30", "1%", "100ppm/C", "Vishay", "CRCW04021R30FKED", "Digi-Key", "541-1.30LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.30 ohm" 
"1.33", "1%", "100ppm/C", "Vishay", "CRCW04021R33FKED", "Digi-Key", "541-1.33LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.33 ohm" 
"1.37", "1%", "100ppm/C", "Vishay", "CRCW04021R37FKED", "Digi-Key", "541-1.37LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.37 ohm" 
"1.40", "1%", "100ppm/C", "Vishay", "CRCW04021R40FKED", "Digi-Key", "541-1.40LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.40 ohm" 
"1.43", "1%", "100ppm/C", "Vishay", "CRCW04021R43FKED", "Digi-Key", "541-1.43LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.43 ohm" 
"1.47", "1%", "100ppm/C", "Vishay", "CRCW04021R47FKED", "Digi-Key", "541-1.47LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.47 ohm" 
"1.50", "1%", "100ppm/C", "Vishay", "CRCW04021R50FKED", "Digi-Key", "541-1.50LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.50 ohm" 
"1.54", "1%", "100ppm/C", "Vishay", "CRCW04021R54FKED", "Digi-Key", "541-1.54LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.54 ohm" 
"1.58", "1%", "100ppm/C", "Vishay", "CRCW04021R58FKED", "Digi-Key", "541-1.58LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.58 ohm" 
"1.62", "1%", "100ppm/C", "Vishay", "CRCW04021R62FKED", "Digi-Key", "541-1.62LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.62 ohm" 
"1.65", "1%", "100ppm/C", "Vishay", "CRCW04021R65FKED", "Digi-Key", "541-1.65LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.65 ohm" 
"1.69", "1%", "100ppm/C", "Vishay", "CRCW04021R69FKED", "Digi-Key", "541-1.69LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.69 ohm" 
"1.74", "1%", "100ppm/C", "Vishay", "CRCW04021R74FKED", "Digi-Key", "541-1.74LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.74 ohm" 
"1.78", "1%", "100ppm/C", "Vishay", "CRCW04021R78FKED", "Digi-Key", "541-1.78LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.78 ohm" 
"1.82", "1%", "100ppm/C", "Vishay", "CRCW04021R82FKED", "Digi-Key", "541-1.82LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.82 ohm" 
"1.87", "1%", "100ppm/C", "Vishay", "CRCW04021R87FKED", "Digi-Key", "541-1.87LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.87 ohm" 
"1.91", "1%", "100ppm/C", "Vishay", "CRCW04021R91FKED", "Digi-Key", "541-1.91LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.91 ohm" 
"1.96", "1%", "100ppm/C", "Vishay", "CRCW04021R96FKED", "Digi-Key", "541-1.96LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 1.96 ohm" 
"2.00", "1%", "100ppm/C", "Vishay", "CRCW04022R00FKED", "Digi-Key", "541-2.00LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.00 ohm" 
"2.05", "1%", "100ppm/C", "Vishay", "CRCW04022R05FKED", "Digi-Key", "541-2.05LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.05 ohm" 
"2.10", "1%", "100ppm/C", "Vishay", "CRCW04022R10FKED", "Digi-Key", "541-2.10LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.10 ohm" 
"2.15", "1%", "100ppm/C", "Vishay", "CRCW04022R15FKED", "Digi-Key", "541-2.15LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.15 ohm" 
"2.21", "1%", "100ppm/C", "Vishay", "CRCW04022R21FKED", "Digi-Key", "541-2.21LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.21 ohm" 
"2.26", "1%", "100ppm/C", "Vishay", "CRCW04022R26FKED", "Digi-Key", "541-2.26LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.26 ohm" 
"2.32", "1%", "100ppm/C", "Vishay", "CRCW04022R32FKED", "Digi-Key", "541-2.32LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.32 ohm" 
"2.37", "1%", "100ppm/C", "Vishay", "CRCW04022R37FKED", "Digi-Key", "541-2.37LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.37 ohm" 
"2.43", "1%", "100ppm/C", "Vishay", "CRCW04022R43FKED", "Digi-Key", "541-2.43LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.43 ohm" 
"2.49", "1%", "100ppm/C", "Vishay", "CRCW04022R49FKED", "Digi-Key", "541-2.49LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.49 ohm" 
"2.55", "1%", "100ppm/C", "Vishay", "CRCW04022R55FKED", "Digi-Key", "541-2.55LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.55 ohm" 
"2.61", "1%", "100ppm/C", "Vishay", "CRCW04022R61FKED", "Digi-Key", "541-2.61LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.61 ohm" 
"2.67", "1%", "100ppm/C", "Vishay", "CRCW04022R67FKED", "Digi-Key", "541-2.67LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.67 ohm" 
"2.74", "1%", "100ppm/C", "Vishay", "CRCW04022R74FKED", "Digi-Key", "541-2.74LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.74 ohm" 
"2.80", "1%", "100ppm/C", "Vishay", "CRCW04022R80FKED", "Digi-Key", "541-2.80LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.80 ohm" 
"2.87", "1%", "100ppm/C", "Vishay", "CRCW04022R87FKED", "Digi-Key", "541-2.87LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.87 ohm" 
"2.94", "1%", "100ppm/C", "Vishay", "CRCW04022R94FKED", "Digi-Key", "541-2.94LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 2.94 ohm" 
"3.01", "1%", "100ppm/C", "Vishay", "CRCW04023R01FKED", "Digi-Key", "541-3.01LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 3.01 ohm" 
"3.09", "1%", "100ppm/C", "Vishay", "CRCW04023R09FKED", "Digi-Key", "541-3.09LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 3.09 ohm" 
"3.16", "1%", "100ppm/C", "Vishay", "CRCW04023R16FKED", "Digi-Key", "541-3.16LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 3.16 ohm" 
"3.24", "1%", "100ppm/C", "Vishay", "CRCW04023R24FKED", "Digi-Key", "541-3.24LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 3.24 ohm" 
"3.32", "1%", "100ppm/C", "Vishay", "CRCW04023R32FKED", "Digi-Key", "541-3.32LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 3.32 ohm" 
"3.40", "1%", "100ppm/C", "Vishay", "CRCW04023R40FKED", "Digi-Key", "541-3.40LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 3.40 ohm" 
"3.48", "1%", "100ppm/C", "Vishay", "CRCW04023R48FKED", "Digi-Key", "541-3.48LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 3.48 ohm" 
"3.57", "1%", "100ppm/C", "Vishay", "CRCW04023R57FKED", "Digi-Key", "541-3.57LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 3.57 ohm" 
"3.65", "1%", "100ppm/C", "Vishay", "CRCW04023R65FKED", "Digi-Key", "541-3.65LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 3.65 ohm" 
"3.74", "1%", "100ppm/C", "Vishay", "CRCW04023R74FKED", "Digi-Key", "541-3.74LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 3.74 ohm" 
"3.83", "1%", "100ppm/C", "Vishay", "CRCW04023R83FKED", "Digi-Key", "541-3.83LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 3.83 ohm" 
"3.92", "1%", "100ppm/C", "Vishay", "CRCW04023R92FKED", "Digi-Key", "541-3.92LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 3.92 ohm" 
"4.02", "1%", "100ppm/C", "Vishay", "CRCW04024R02FKED", "Digi-Key", "541-4.02LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 4.02 ohm" 
"4.12", "1%", "100ppm/C", "Vishay", "CRCW04024R12FKED", "Digi-Key", "541-4.12LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 4.12 ohm" 
"4.22", "1%", "100ppm/C", "Vishay", "CRCW04024R22FKED", "Digi-Key", "541-4.22LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 4.22 ohm" 
"4.32", "1%", "100ppm/C", "Vishay", "CRCW04024R32FKED", "Digi-Key", "541-4.32LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 4.32 ohm" 
"4.42", "1%", "100ppm/C", "Vishay", "CRCW04024R42FKED", "Digi-Key", "541-4.42LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 4.42 ohm" 
"4.53", "1%", "100ppm/C", "Vishay", "CRCW04024R53FKED", "Digi-Key", "541-4.53LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 4.53 ohm" 
"4.64", "1%", "100ppm/C", "Vishay", "CRCW04024R64FKED", "Digi-Key", "541-4.64LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 4.64 ohm" 
"4.75", "1%", "100ppm/C", "Vishay", "CRCW04024R75FKED", "Digi-Key", "541-4.75LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 4.75 ohm" 
"4.87", "1%", "100ppm/C", "Vishay", "CRCW04024R87FKED", "Digi-Key", "541-4.87LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 4.87 ohm" 
"4.99", "1%", "100ppm/C", "Vishay", "CRCW04024R99FKED", "Digi-Key", "541-4.99LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 4.99 ohm" 
"5.11", "1%", "100ppm/C", "Vishay", "CRCW04025R11FKED", "Digi-Key", "541-5.11LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 5.11 ohm" 
"5.23", "1%", "100ppm/C", "Vishay", "CRCW04025R23FKED", "Digi-Key", "541-5.23LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 5.23 ohm" 
"5.36", "1%", "100ppm/C", "Vishay", "CRCW04025R36FKED", "Digi-Key", "541-5.36LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 5.36 ohm" 
"5.49", "1%", "100ppm/C", "Vishay", "CRCW04025R49FKED", "Digi-Key", "541-5.49LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 5.49 ohm" 
"5.62", "1%", "100ppm/C", "Vishay", "CRCW04025R62FKED", "Digi-Key", "541-5.62LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 5.62 ohm" 
"5.76", "1%", "100ppm/C", "Vishay", "CRCW04025R76FKED", "Digi-Key", "541-5.76LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 5.76 ohm" 
"5.90", "1%", "100ppm/C", "Vishay", "CRCW04025R90FKED", "Digi-Key", "541-5.90LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 5.90 ohm" 
"6.04", "1%", "100ppm/C", "Vishay", "CRCW04026R04FKED", "Digi-Key", "541-6.04LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 6.04 ohm" 
"6.19", "1%", "100ppm/C", "Vishay", "CRCW04026R19FKED", "Digi-Key", "541-6.19LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 6.19 ohm" 
"6.34", "1%", "100ppm/C", "Vishay", "CRCW04026R34FKED", "Digi-Key", "541-6.34LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 6.34 ohm" 
"6.49", "1%", "100ppm/C", "Vishay", "CRCW04026R49FKED", "Digi-Key", "541-6.49LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 6.49 ohm" 
"6.65", "1%", "100ppm/C", "Vishay", "CRCW04026R65FKED", "Digi-Key", "541-6.65LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 6.65 ohm" 
"6.81", "1%", "100ppm/C", "Vishay", "CRCW04026R81FKED", "Digi-Key", "541-6.81LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 6.81 ohm" 
"6.98", "1%", "100ppm/C", "Vishay", "CRCW04026R98FKED", "Digi-Key", "541-6.98LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 6.98 ohm" 
"7.15", "1%", "100ppm/C", "Vishay", "CRCW04027R15FKED", "Digi-Key", "541-7.15LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 7.15 ohm" 
"7.32", "1%", "100ppm/C", "Vishay", "CRCW04027R32FKED", "Digi-Key", "541-7.32LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 7.32 ohm" 
"7.50", "1%", "100ppm/C", "Vishay", "CRCW04027R50FKED", "Digi-Key", "541-7.50LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 7.50 ohm" 
"7.68", "1%", "100ppm/C", "Vishay", "CRCW04027R68FKED", "Digi-Key", "541-7.68LCT-ND", "Datasheet", "http://www.vishay.com/docs/20035/dcrcwe3.pdf", "Res1", ".\MF_MiscLib.schlib", "RES0402", ".\MF_MiscLib.PcbLib", "Resistor SMT 0402 7.68 ohm" 
